Year,Charcoal_A,Charcoal_D,Landfill_C,Landfill_A,Landfill_DC
0,9555851.0,9565.0,30083546.0,28128936.0,1954610.0
1,18955583.0,18975.0,71934003.0,96686043.0,3376896.0
2,27847605.0,27875.0,108452134.0,201172585.0,3965592.0
3,37072286.0,37109.0,140407370.0,334762940.0,6817015.0
4,45940455.0,45986.0,171320953.0,493144793.0,12939099.0
5,55626239.0,55682.0,205903381.0,676249230.0,22798945.0
6,65744997.0,65811.0,243503468.0,883321302.0,36431396.0
7,77103449.0,77181.0,283824801.0,1113192144.0,53953959.0
8,87945860.0,88034.0,323561579.0,1361096513.0,75657210.0
9,99524684.0,99624.0,364462091.0,1623477302.0,102081302.0
10,111658636.0,111770.0,402797472.0,1892710306.0,133564467.0
11,123475858.0,123599.0,380333902.0,1949440062.0,323604146.0
12,134503210.0,134638.0,392054414.0,2170165103.0,171329373.0
13,145490434.0,145636.0,401049217.0,2367778324.0,203435995.0
14,156571814.0,156729.0,408473416.0,2537994117.0,238257623.0
15,167132543.0,167300.0,422819706.0,2692486408.0,268327415.0
16,178053153.0,178231.0,430385291.0,2827794403.0,295077296.0
17,188586709.0,188775.0,436270465.0,2944850265.0,319214603.0
18,199283226.0,199483.0,435941422.0,3042823074.0,337968614.0
19,209665302.0,209875.0,435883627.0,3123960661.0,354746040.0
20,220314423.0,220535.0,428106820.0,3184985005.0,367082476.0
21,230633544.0,230864.0,412810142.0,3211602846.0,386192302.0
22,240341355.0,240582.0,404674338.0,3242827862.0,373449322.0
23,251394081.0,251646.0,397334658.0,3257290410.0,382872109.0
24,261777431.0,262039.0,390792398.0,3257529191.0,390553617.0
25,270980781.0,271252.0,382971680.0,3246313556.0,394187316.0
26,281054427.0,281336.0,370945740.0,3224694657.0,392564639.0
27,290838765.0,291130.0,362355784.0,3191087751.0,395962690.0
28,300233520.0,300534.0,356956471.0,3151235048.0,396809174.0
29,310083134.0,310394.0,346997346.0,3110369289.0,387863105.0
30,320565852.0,320887.0,335046120.0,3065845087.0,379570322.0
31,331306137.0,331638.0,328843895.0,3017244459.0,377444522.0
32,341906052.0,342248.0,322275939.0,2971035148.0,368485250.0
33,353015575.0,353369.0,317023910.0,2927416903.0,360642156.0
34,362687205.0,363050.0,315116683.0,2888094526.0,354439059.0
35,372885182.0,373258.0,309589727.0,2856236521.0,341447732.0
36,384484751.0,384870.0,307308734.0,2808558823.0,354986432.0
37,394589004.0,394984.0,312418753.0,2786694814.0,334282761.0
38,404457320.0,404862.0,316189255.0,2778378821.0,324505248.0
39,413998326.0,414413.0,320402498.0,2781605204.0,317176116.0
40,423861517.0,424286.0,323526282.0,2795970798.0,309160688.0
41,432723657.0,433157.0,336484595.0,2807968635.0,324486758.0
42,442751440.0,443195.0,340403854.0,2848408052.0,299964437.0
43,452624640.0,453078.0,345748928.0,2896034807.0,298122173.0
44,462553651.0,463017.0,354359132.0,2951701486.0,298692453.0
45,472824644.0,473298.0,366592641.0,3017672383.0,300621744.0
46,482823034.0,483306.0,375579840.0,3096299474.0,296952749.0
47,491557055.0,492049.0,398842459.0,3182968898.0,312173035.0
48,502044487.0,502547.0,418221883.0,3289974644.0,311216137.0
49,512473853.0,512987.0,433972177.0,3412157511.0,311789310.0
50,525012751.0,525538.0,448298184.0,3544850490.0,315605205.0
51,535516686.0,536053.0,459932846.0,3684793304.0,319990032.0
52,547171058.0,547719.0,468513424.0,3827629801.0,325676926.0
53,558722424.0,559282.0,476566119.0,3969110570.0,335085350.0
54,570293324.0,570864.0,490591920.0,4107341313.0,352361176.0
55,583474380.0,584058.0,494897175.0,4247343123.0,354895365.0
56,596296454.0,596893.0,516472123.0,4379562101.0,384253145.0
57,606337941.0,606945.0,512940953.0,4520524642.0,371978412.0
58,619213755.0,619834.0,525145490.0,4645514101.0,400156032.0
59,632244014.0,632877.0,533821775.0,4770487240.0,408848636.0
60,645257594.0,645903.0,532611307.0,4891867036.0,411231511.0
61,657866582.0,658525.0,533277534.0,5000798993.0,424345578.0
62,670954855.0,671626.0,551331352.0,5099792051.0,452338294.0
63,685414208.0,686100.0,562778206.0,5206681449.0,455888808.0
64,700128266.0,700829.0,583226548.0,5315446029.0,474461968.0
65,711663597.0,712376.0,580359955.0,5435077323.0,460728661.0
66,728588893.0,729318.0,607329573.0,5542753466.0,499653430.0
67,745902483.0,746649.0,625031477.0,5667975809.0,499809135.0
68,764410056.0,765175.0,650709672.0,5801100978.0,517584503.0
69,779953414.0,780734.0,672873888.0,5951115395.0,522859470.0
70,797736635.0,798535.0,694131402.0,6113972656.0,531274141.0
71,816381106.0,817198.0,718399681.0,6287357706.0,545014631.0
72,835564011.0,836400.0,730519001.0,6472552712.0,545323995.0
73,854565962.0,855421.0,747992116.0,6656201002.0,564343826.0
74,875197246.0,876073.0,760405250.0,6841805760.0,574800493.0
75,895605983.0,896502.0,789660685.0,7023068825.0,608397620.0
76,915448733.0,916365.0,815786815.0,7215867105.0,622988535.0
77,936975386.0,937913.0,822644235.0,7416074127.0,622437214.0
78,957430350.0,958389.0,854809539.0,7604913969.0,665969696.0
79,1004623743.0,1005629.0,864350947.0,7805391898.0,663873018.0
80,1066793706.0,1067862.0,873673336.0,7996040029.0,683025205.0
81,1130518413.0,1131650.0,885844244.0,8177586937.0,704297337.0
82,1184479981.0,1185666.0,884645254.0,8353046842.0,709185349.0
83,1233380349.0,1234615.0,906756247.0,8509708902.0,750094188.0
84,1282472575.0,1283756.0,915856146.0,8672348217.0,753216831.0
85,1353833523.0,1355189.0,910830751.0,8829118881.0,754060086.0
86,1425786031.0,1427213.0,926429101.0,8967511954.0,788036027.0
87,1485907166.0,1487395.0,929720971.0,9107193759.0,790039165.0
88,1547852180.0,1549402.0,952158244.0,9238791522.0,820560482.0
89,1624824771.0,1626451.0,959661427.0,9382227476.0,816225473.0
90,1702912287.0,1704617.0,973760765.0,9523858834.0,832129407.0
91,1774811588.0,1776588.0,975206875.0,9671351342.0,827714367.0
92,1858838947.0,1860700.0,994564440.0,9811482989.0,854432793.0
93,1932946306.0,1934881.0,990954485.0,9963226910.0,839210564.0
94,2019147938.0,2021169.0,1018859235.0,10104519101.0,877567044.0
95,2092034784.0,2094129.0,1040210107.0,10266786917.0,877942291.0
96,2178102833.0,2180283.0,1066241529.0,10443652192.0,889376253.0
97,2260216837.0,2262479.0,1099094189.0,10640770309.0,901976072.0
98,2326054900.0,2328383.0,1088932003.0,10864102837.0,865599476.0
99,2392484403.0,2394879.0,1113355400.0,11070432258.0,907025979.0
100,2462603468.0,2465069.0,1130529010.0,11293017146.0,907944121.0
101,2540311582.0,2542854.0,1154423693.0,11522228344.0,925212495.0
102,2610185317.0,2612798.0,1147857405.0,11763608791.0,906476958.0
103,2685566117.0,2688254.0,1182402771.0,11985431080.0,960580483.0
104,2758684495.0,2761446.0,1190639380.0,12225831692.0,950238768.0
105,2851367845.0,2854222.0,1222378208.0,12458888118.0,989321782.0
106,2956522849.0,2959482.0,1205871242.0,12707783202.0,956976158.0
107,3049809458.0,3052862.0,1176235779.0,12924156445.0,959862535.0
108,3161002060.0,3164166.0,1180506938.0,13095880643.0,1008782740.0
109,3260882390.0,3264147.0,1199601864.0,13256377373.0,1039105133.0
110,3341180719.0,3344525.0,1204782877.0,13423058761.0,1038101489.0
111,3415812218.0,3419231.0,1224080396.0,13584810799.0,1062328358.0
112,3507930843.0,3511442.0,1234832677.0,13757210373.0,1062433103.0
113,3609587702.0,3613201.0,1246899903.0,13932278399.0,1071831877.0
114,3703697671.0,3707405.0,1255184215.0,14112124100.0,1075338513.0
115,3775658234.0,3779438.0,1256046941.0,14292652912.0,1075518129.0
116,3847838577.0,3851690.0,1253396624.0,14468747875.0,1077301661.0
117,3912658305.0,3916575.0,1251946533.0,14636993576.0,1083700832.0
118,3968328674.0,3972301.0,1270060674.0,14798999305.0,1108054945.0
