Year,Biochar,Biochar_E,IFuelwood_E,IFuelwood_Char,RFuelwood_E,RFuelwood_Char,Paper_C,Paper_A,Paper_D,Paper_R,Paper_L,BC_C,BC_A,BC_D,BC_R,BC_L,EC_C,EC_A,EC_L,HA_C,HA_A,HA_D,HA_R,HA_L
1901,0.0,0.0,118020402.0,3650116.0,68025947.0,5915300.0,365794001.0,345728518.0,20451370.0,1024154.0,19427216.0,65674913.0,65642330.0,34061.0,0.0,34061.0,44149356.0,43979720.0,176434.0,62314084.0,62203753.0,115322.0,0.0,115322.0
1902,0.0,0.0,120866554.0,3738141.0,65326505.0,5680566.0,375118162.0,679441144.0,42173712.0,4110080.0,38063632.0,75930941.0,141499980.0,76599.0,1327.0,75271.0,49161219.0,92768529.0,387209.0,63868807.0,125838910.0,244138.0,5641.0,238497.0
1903,0.0,0.0,130543468.0,4037427.0,56148401.0,4882470.0,385159566.0,1000550299.0,65195184.0,8440998.0,56754187.0,66522125.0,207909017.0,118163.0,3245.0,114918.0,46996860.0,139182191.0,606159.0,75050758.0,200501633.0,405331.0,14843.0,390488.0
1904,0.0,0.0,110711157.0,3424056.0,67133958.0,5837735.0,374588026.0,1288282243.0,88347119.0,13577779.0,74769340.0,70185088.0,277935775.0,165395.0,5732.0,159663.0,50823684.0,189180536.0,857540.0,61233355.0,261203084.0,555404.0,25665.0,529738.0
1905,0.0,0.0,110855527.0,3428521.0,63084795.0,5485634.0,371438393.0,1549553072.0,111980227.0,19391118.0,92589109.0,62216601.0,339948675.0,212734.0,8560.0,204175.0,42879009.0,231003752.0,1096552.0,68616142.0,329117680.0,732285.0,39286.0,693000.0
1906,0.0,0.0,114605021.0,3544485.0,71265278.0,6196981.0,401656158.0,1815444799.0,137907043.0,26128101.0,111778943.0,74655784.0,414345179.0,270713.0,12126.0,258586.0,52960941.0,282622276.0,1393765.0,59779347.0,388026668.0,908141.0,54239.0,853902.0
1907,0.0,0.0,132407903.0,4095090.0,70029012.0,6089479.0,440480842.0,2091792381.0,166619917.0,33902249.0,132717668.0,80149863.0,494172536.0,336646.0,16377.0,320269.0,57093053.0,338048843.0,1729644.0,70700896.0,457654653.0,1119090.0,72588.0,1046502.0
1908,0.0,0.0,134536330.0,4160917.0,83659240.0,7274716.0,479087233.0,2375591789.0,198128713.0,42747445.0,155381268.0,95351877.0,589125587.0,416222.0,21638.0,394584.0,54808559.0,390851580.0,2081080.0,73959618.0,530315869.0,1353805.0,93839.0,1259966.0
1909,0.0,0.0,157536531.0,4872264.0,69669087.0,6058181.0,500323867.0,2647622460.0,231476428.0,52474732.0,179001696.0,101075465.0,689716393.0,505687.0,27778.0,477909.0,56362954.0,444838785.0,2463975.0,75458650.0,604229118.0,1610758.0,117973.0,1492785.0
1910,0.0,0.0,156224826.0,4831696.0,78737648.0,6846752.0,521809976.0,2906295270.0,266647957.0,63077171.0,203570786.0,102955105.0,792092631.0,603841.0,34760.0,569081.0,64724219.0,506758828.0,2907314.0,72548934.0,674970469.0,1883308.0,144549.0,1738758.0
1911,0.0,0.0,145219709.0,4491331.0,89175491.0,7754391.0,524523026.0,3132059980.0,302559007.0,74287500.0,228271507.0,102248140.0,893659961.0,710005.0,42563.0,667442.0,57764598.0,561287245.0,3353905.0,84655057.0,757513161.0,2200075.0,175852.0,2024223.0
1912,0.0,0.0,148494845.0,4592624.0,84504283.0,7348198.0,523599967.0,3320779607.0,338927184.0,86008101.0,252919082.0,87426194.0,980302111.0,817434.0,50781.0,766653.0,55660866.0,613258380.0,3822405.0,94994571.0,850047812.0,2561192.0,212144.0,2349048.0
1913,0.0,0.0,159644332.0,4937454.0,71582170.0,6224536.0,519923315.0,3469439482.0,375507953.0,98147998.0,277359955.0,80770900.0,1060180448.0,930296.0,59654.0,870642.0,61933870.0,670994519.0,4346990.0,72536211.0,919788634.0,2909260.0,248737.0,2660523.0
