Year,Charcoal_A,Charcoal_D,Landfill_C,Landfill_A,Landfill_DC
0,9555851.0,9565.0,19753033.0,18469711.0,1283322.0
1,18955583.0,18975.0,51723784.0,67869025.0,2324470.0
2,27847605.0,27875.0,78419886.0,143551219.0,2737691.0
3,37072286.0,37109.0,101038577.0,239994006.0,4595790.0
4,45940455.0,45986.0,122887276.0,354122277.0,8759005.0
5,55626239.0,55682.0,147877642.0,486482451.0,15517467.0
6,65744997.0,65811.0,175193156.0,636820627.0,24854980.0
7,77103449.0,77181.0,204596564.0,804563435.0,36853757.0
8,87945860.0,88034.0,233237034.0,986074371.0,51726098.0
9,99524684.0,99624.0,262914235.0,1179110444.0,69878161.0
10,111658636.0,111770.0,290370465.0,1377936121.0,91544788.0
11,123475858.0,123599.0,317909150.0,1431688489.0,264156781.0
12,134503210.0,134638.0,346276629.0,1637320358.0,140644761.0
13,145490434.0,145636.0,372349338.0,1846097746.0,163571950.0
14,156571814.0,156729.0,395898356.0,2054675929.0,187320173.0
15,167132543.0,167300.0,426815912.0,2268401690.0,213090151.0
16,178053153.0,178231.0,412677125.0,2481134157.0,199944658.0
17,188586709.0,188775.0,419555988.0,2654721655.0,245968490.0
18,199283226.0,199483.0,422863758.0,2804909282.0,272676131.0
19,209665302.0,209875.0,428733399.0,2932262190.0,301380492.0
20,220314423.0,220535.0,428843708.0,3035163966.0,325941932.0
21,230633544.0,230864.0,420801673.0,3100510389.0,355455250.0
22,240341355.0,240582.0,419018090.0,3161597012.0,357931468.0
23,251394081.0,251646.0,416179215.0,3204356568.0,373419658.0
24,261777431.0,262039.0,412257924.0,3231186038.0,385428453.0
25,270980781.0,271252.0,405659843.0,3244757350.0,392088531.0
26,281054427.0,281336.0,395616262.0,3246435580.0,393938033.0
27,290838765.0,291130.0,390527778.0,3236772335.0,400191024.0
28,300233520.0,300534.0,387430816.0,3219253678.0,404949473.0
29,310083134.0,310394.0,379109462.0,3197773410.0,400589730.0
30,320565852.0,320887.0,368143572.0,3169194252.0,396722730.0
31,331306137.0,331638.0,360351216.0,3132839934.0,396705534.0
32,341906052.0,342248.0,348044781.0,3093527273.0,387357441.0
33,353015575.0,353369.0,337335219.0,3048288277.0,382574215.0
34,362687205.0,363050.0,332264902.0,2999626044.0,380927135.0
35,372885182.0,373258.0,323780013.0,2953465509.0,369940548.0
36,384484751.0,384870.0,319667815.0,2888741575.0,384391749.0
37,394589004.0,394984.0,324740099.0,2846447950.0,367033723.0
38,404457320.0,404862.0,328821418.0,2818026373.0,357242995.0
39,413998326.0,414413.0,332208530.0,2802827300.0,347407603.0
40,423861517.0,424286.0,333956942.0,2800168235.0,336616008.0
41,432723657.0,433157.0,344604057.0,2800444489.0,344327802.0
42,442751440.0,443195.0,345158388.0,2825945362.0,319657516.0
43,452624640.0,453078.0,345996824.0,2858286041.0,313656146.0
44,462553651.0,463017.0,349092634.0,2896570171.0,310808504.0
45,472824644.0,473298.0,356620849.0,2941550183.0,311640837.0
