Year,Harveted_Timber,Biomass,Pulpwood,Sawlog,Biochar,Residential_Fuel,Industry_Fuel,Paper,Composite_Board,Lumber,Veneer,Construction_B,Construction_E,Home_Application,Processing_Residual
1901,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,73941247.0,121670518.0,365794001.0,0.0,154142072.0,17996282.0,65674913.0,44149356.0,62314084.0,577706748.0
1902,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,71007071.0,124604695.0,375118162.0,0.0,164705107.0,24255859.0,75930941.0,49161219.0,63868807.0,560884136.0
1903,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,61030871.0,134580895.0,385159566.0,0.0,166661225.0,21908518.0,66522125.0,46996860.0,75050758.0,561275359.0
1904,1247379375.0,187106906.3,686058656.3,374213812.4,0.0,72971693.0,114135213.0,374588026.0,0.0,160163512.0,22078615.0,70185088.0,50823684.0,61233355.0,535001014.0
1905,1219029844.0,182854476.6,670466414.1,365708953.3,0.0,68570429.0,114284048.0,371438393.0,0.0,156157723.0,17554030.0,62216601.0,42879009.0,68616142.0,527596116.0
1906,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,77462259.0,118149506.0,401656158.0,0.0,166661225.0,20734847.0,74655784.0,52960941.0,59779347.0,562449030.0
1907,1417476563.0,212621484.4,779612109.4,425242969.2,0.0,76118491.0,136502993.0,440480842.0,0.0,185405935.0,22537877.0,80149863.0,57093053.0,70700896.0,607105212.0
1908,1530874688.0,229631203.1,841981078.1,459262406.8,0.0,90933956.0,138697247.0,479087233.0,0.0,198860622.0,25259432.0,95351877.0,54808559.0,73959618.0,656132891.0
1909,1587573750.0,238136062.5,873165562.5,476272125.0,0.0,75727268.0,162408795.0,500323867.0,0.0,210512279.0,22384790.0,101075465.0,56362954.0,75458650.0,679957837.0
1910,1644272813.0,246640921.9,904350046.9,493281844.2,0.0,85584400.0,161056522.0,521809976.0,0.0,209644784.0,30583474.0,102955105.0,64724219.0,72548934.0,705228609.0
1911,1644272813.0,246640921.9,904350046.9,493281844.2,0.0,96929882.0,149711040.0,524523026.0,0.0,213591039.0,31076756.0,102248140.0,57764598.0,84655057.0,701282354.0
1912,1632933000.0,244939950.0,898113150.0,489879900.0,0.0,91852481.0,153087469.0,523599967.0,0.0,208688837.0,29392794.0,87426194.0,55660866.0,94994571.0,700854844.0
1913,1615923281.0,242388492.2,888757804.7,484776984.1,0.0,77806706.0,164581786.0,519923315.0,0.0,186639139.0,28601842.0,80770900.0,61933870.0,72536211.0,713914905.0
1914,1587573750.0,238136062.5,873165562.5,476272125.0,0.0,79775581.0,158360482.0,513421350.0,0.0,182412224.0,24766151.0,90699378.0,53496771.0,62982226.0,705676532.0
1915,1559224219.0,233883632.8,857573320.3,467767265.9,0.0,84431991.0,149451641.0,505968259.0,0.0,195994484.0,25727200.0,90785274.0,53777264.0,77159146.0,675300009.0
1916,1587573750.0,238136062.5,873165562.5,476272125.0,0.0,71678955.0,166457108.0,516914012.0,0.0,166695244.0,21908518.0,63841242.0,51395657.0,73366863.0,724251145.0
1917,1644272813.0,246640921.9,904350046.9,493281844.2,0.0,73992277.0,172648645.0,537183927.0,0.0,205698529.0,26143938.0,82393335.0,63435577.0,86013555.0,713614400.0
1918,1576233938.0,236435090.6,866928665.6,472870181.8,0.0,72585573.0,163849518.0,516689485.0,0.0,179217799.0,25062120.0,88467505.0,50851400.0,64961014.0,702054596.0
1919,1530874688.0,229631203.1,841981078.1,459262406.8,0.0,80141290.0,149489913.0,503504685.0,0.0,186460537.0,27555744.0,83382883.0,59151960.0,71481438.0,666695927.0
1920,1474175625.0,221126343.8,810796593.8,442252687.4,0.0,79163231.0,141963113.0,486477957.0,0.0,169382779.0,20343624.0,73165521.0,44275123.0,72285760.0,657924582.0
1921,1360777500.0,224116625.0,748427625.0,388233250.0,0.0,82923151.0,141193474.0,449805002.0,0.0,142093370.0,22517528.0,69754197.0,38559774.0,56296927.0,597836164.0
1922,1190680313.0,228602046.9,654874171.9,307204094.2,0.0,73838461.0,154763586.0,394889126.0,0.0,126568087.0,19046654.0,54874187.0,43998222.0,46742332.0,489026440.0
1923,1133981250.0,220097187.5,623689687.5,290194375.0,0.0,66909545.0,153187642.0,377332261.0,0.0,104760169.0,14509719.0,45766719.0,35813885.0,37689285.0,482769331.0
1924,1190680313.0,228602046.9,654874171.9,307204094.2,0.0,88926196.0,139675851.0,396853748.0,0.0,124110454.0,19661062.0,50866362.0,36834262.0,56070891.0,490869664.0
1925,1162330781.0,224349617.2,639281929.7,298699234.1,0.0,78298016.0,146051601.0,388044132.0,0.0,111414814.0,15532360.0,47548826.0,33316524.0,46081824.0,491393025.0
1926,1133981250.0,200097187.5,623689687.5,310194375.0,0.0,69433724.0,130663463.0,379827020.0,0.0,122836972.0,19852440.0,52833038.0,34350193.0,55506181.0,479349806.0
1927,1105631719.0,225844757.8,608097445.3,271689515.9,0.0,71592788.0,154251970.0,370939442.0,0.0,119543387.0,16573060.0,51631282.0,41064018.0,43421147.0,439621791.0
1928,1099961813.0,204994271.9,604978996.9,289988544.2,0.0,78512806.0,126481466.0,369642166.0,0.0,130204856.0,14789416.0,60501325.0,34179935.0,50313012.0,447483770.0
1929,1105631719.0,205844757.8,608097445.3,291689515.9,0.0,70398907.0,135445851.0,372155637.0,0.0,109966947.0,14584476.0,48771597.0,38165296.0,37614530.0,471186816.0
1930,1077282188.0,221592328.1,592505203.1,263184656.8,0.0,70244768.0,151347560.0,363205690.0,0.0,100273354.0,15001525.0,45280434.0,34720332.0,35274113.0,444162379.0
1931,1020583125.0,233087468.8,561320718.8,226174937.4,0.0,76219602.0,156867867.0,344650921.0,0.0,99064623.0,14022846.0,42559338.0,27554893.0,42973238.0,393747828.0
1932,963884062.5,224582609.4,530136234.4,209165218.7,0.0,86688887.0,137893722.0,326563920.0,0.0,80110279.0,12340748.0,39336433.0,22513304.0,30601290.0,381782309.0
1933,907185000.0,226077750.0,498951750.0,182155500.0,0.0,83196612.0,142881138.0,307853230.0,0.0,76505310.0,10747174.0,32536451.0,25050188.0,29665845.0,344378891.0
1934,850485937.5,237572890.6,467767265.6,145145781.3,0.0,86714105.0,150858786.0,289080170.0,0.0,52107335.0,8418455.0,22365248.0,16129155.0,22031388.0,318503623.0
1935,861825750.0,209273862.5,474004162.5,178547725.0,0.0,75129317.0,134144546.0,293408576.0,0.0,66062658.0,9105934.0,30774322.0,18385937.0,26008333.0,340381214.0
1936,878835468.8,231825320.3,483359507.8,163650640.7,0.0,72329500.0,159495820.0,299199535.0,0.0,72497234.0,8346183.0,31569920.0,22029265.0,27244232.0,324486978.0
1937,907185000.0,256077750.0,498951750.0,152155500.0,0.0,86042124.0,170035626.0,309350085.0,0.0,64818243.0,8216397.0,26549552.0,20192617.0,26292470.0,328596735.0
1938,963884062.5,224582609.4,530136234.4,209165218.7,0.0,75235174.0,149347435.0,329214601.0,0.0,80319444.0,10667426.0,32719606.0,24784095.0,33483168.0,383455631.0
1939,1020583125.0,223087468.8,561320718.8,236174937.4,0.0,71611077.0,151476391.0,349141487.0,0.0,89746476.0,11100222.0,39686907.0,30804935.0,30354856.0,415988598.0
1940,1077282188.0,211592328.1,592505203.1,273184656.8,0.0,72152984.0,139439344.0,369130742.0,0.0,110093417.0,16664264.0,53207804.0,30452265.0,43097612.0,442679578.0
1941,1099961813.0,214994271.9,604978996.9,279988544.2,0.0,76752955.0,138241317.0,377506894.0,0.0,124034925.0,13159462.0,55334063.0,37820925.0,44039398.0,445283656.0
1942,1150990969.0,192648645.3,633045032.8,325297290.9,0.0,70316756.0,122331890.0,395653145.0,0.0,114179349.0,14963675.0,51735987.0,35952126.0,41454911.0,512676782.0
1943,1162330781.0,214349617.2,639281929.7,308699234.1,0.0,80809806.0,133539812.0,399551206.0,0.0,124097092.0,15434962.0,56148396.0,40826381.0,42557276.0,488808145.0
