Year,Harveted_Timber,Biomass,Pulpwood,Sawlog,Biochar,Residential_Fuel,Industry_Fuel,Paper,Composite_Board,Lumber,Veneer,Construction_B,Construction_E,Home_Application,Processing_Residual
1901,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,73941247.0,121670518.0,366527055.0,0.0,169556279.0,19795911.0,72242405.0,48564292.0,68545493.0,560492912.0
1902,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,71007071.0,124604695.0,376851680.0,0.0,181175618.0,26681445.0,83524035.0,54077341.0,70255687.0,541988039.0
1903,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,61030871.0,134580895.0,388030996.0,0.0,183327347.0,24099370.0,73174338.0,51696546.0,82555833.0,542418385.0
1904,1247379375.0,187106906.3,686058656.3,374213812.4,0.0,72971693.0,114135213.0,378066236.0,0.0,176179863.0,24286476.0,77203596.0,55906053.0,67356690.0,516776801.0
1905,1219029844.0,182854476.6,670466414.1,365708953.3,0.0,68570429.0,114284048.0,375493726.0,0.0,171773495.0,19309433.0,68438261.0,47166910.0,75477757.0,509859232.0
1906,1304078438.0,195611765.6,717243140.6,391223531.8,0.0,77462259.0,118149506.0,406534573.0,0.0,183327347.0,22808332.0,82121362.0,58257035.0,65757282.0,543709423.0
1907,1417476563.0,212621484.4,779612109.4,425242969.2,0.0,76118491.0,136502993.0,446282515.0,0.0,203946528.0,24791665.0,88164849.0,62802358.0,77770986.0,586310831.0
1908,1530874688.0,229631203.1,841981078.1,459262406.8,0.0,90933956.0,138697247.0,485791151.0,0.0,218746684.0,27785376.0,104887065.0,60289415.0,81355580.0,633720886.0
1909,1587573750.0,238136062.5,873165562.5,476272125.0,0.0,75727268.0,162408795.0,507736825.0,0.0,231563507.0,24623269.0,111183011.0,61999249.0,83004515.0,656668130.0
1910,1644272813.0,246640921.9,904350046.9,493281844.2,0.0,85584400.0,161056522.0,529971538.0,0.0,230609262.0,33641822.0,113250616.0,71196641.0,79803827.0,681205783.0
1911,1644272813.0,246640921.9,904350046.9,493281844.2,0.0,96929882.0,149711040.0,533051856.0,0.0,234950142.0,34184432.0,112472953.0,63541058.0,93120563.0,676322293.0
1912,1632933000.0,244939950.0,898113150.0,489879900.0,0.0,91852481.0,153087469.0,532438445.0,0.0,229557721.0,32332073.0,96168813.0,61226953.0,104494028.0,677046680.0
1913,1615923281.0,242388492.2,888757804.7,484776984.1,0.0,77806706.0,164581786.0,528914868.0,0.0,205303053.0,31462026.0,88847990.0,68127257.0,79789832.0,692390807.0
1914,1587573750.0,238136062.5,873165562.5,476272125.0,0.0,79775581.0,158360482.0,522619453.0,0.0,200653446.0,27242766.0,99769315.0,58846448.0,69280448.0,684958694.0
1915,1559224219.0,233883632.8,857573320.3,467767265.9,0.0,84431991.0,149451641.0,515242626.0,0.0,215593933.0,28299920.0,99863801.0,59154991.0,84875061.0,652660073.0
