Year,Charcoal_A,Charcoal_D,Landfill_C,Landfill_A,Landfill_DC
0,9555851.0,9565.0,19824546.0,18538209.0,1286337.0
1,18955583.0,18975.0,51483112.0,67699047.0,2322274.0
2,27847605.0,27875.0,78105950.0,143065107.0,2739890.0
3,37072286.0,37109.0,100782808.0,239238375.0,4609540.0
4,45940455.0,45986.0,122758605.0,353218356.0,8778624.0
5,55626239.0,55682.0,147861380.0,485533704.0,15546031.0
6,65744997.0,65811.0,175276593.0,635907130.0,24903167.0
7,77103449.0,77181.0,204849911.0,803817182.0,36939859.0
8,87945860.0,88034.0,233750679.0,985696560.0,51871302.0
9,99524684.0,99624.0,263744152.0,1179334658.0,70106053.0
10,111658636.0,111770.0,291525868.0,1378976757.0,91883769.0
11,123475858.0,123599.0,319585213.0,1431772622.0,266789348.0
12,134503210.0,134638.0,348594696.0,1638893948.0,141473371.0
13,145490434.0,145636.0,375206953.0,1849530252.0,164570649.0
14,156571814.0,156729.0,399069238.0,2060092382.0,188507109.0
15,167132543.0,167300.0,430842468.0,2276408679.0,214526171.0
16,178053153.0,178231.0,416402607.0,2491612756.0,201198529.0
17,188586709.0,188775.0,424010164.0,2667786112.0,247836808.0
18,199283226.0,199483.0,427594573.0,2820594958.0,274785727.0
19,209665302.0,209875.0,434138956.0,2950959359.0,303774556.0
20,220314423.0,220535.0,434865556.0,3057231493.0,328593423.0
21,230633544.0,230864.0,427326517.0,3125754725.0,358803285.0
22,240341355.0,240582.0,426047817.0,3190392738.0,361409805.0
23,251394081.0,251646.0,423141386.0,3236916209.0,376617915.0
24,261777431.0,262039.0,419579305.0,3267154807.0,389340707.0
25,270980781.0,271252.0,412961774.0,3284201885.0,395914696.0
26,281054427.0,281336.0,403131598.0,3289073417.0,398260066.0
27,290838765.0,291130.0,398075765.0,3282576212.0,404572970.0
28,300233520.0,300534.0,395342029.0,3267987312.0,409930930.0
29,310083134.0,310394.0,387265582.0,3249554333.0,405698561.0
30,320565852.0,320887.0,376465656.0,3224050630.0,401969358.0
31,331306137.0,331638.0,369025947.0,3190755199.0,402321378.0
32,341906052.0,342248.0,356868062.0,3154688898.0,392934363.0
33,353015575.0,353369.0,346560240.0,3112707835.0,388541303.0
34,362687205.0,363050.0,341405848.0,3067587854.0,386525828.0
35,372885182.0,373258.0,332964940.0,3024781798.0,375770996.0
36,384484751.0,384870.0,329102091.0,2961510887.0,392373002.0
37,394589004.0,394984.0,334156175.0,2922579011.0,373088051.0
38,404457320.0,404862.0,338407680.0,2897383690.0,363603000.0
39,413998326.0,414413.0,341751221.0,2885475414.0,353659497.0
40,423861517.0,424286.0,343683666.0,2885953139.0,343205941.0
41,432723657.0,433157.0,354765440.0,2888700061.0,352018519.0
42,442751440.0,443195.0,355563701.0,2917722454.0,326541308.0
43,452624640.0,453078.0,356646386.0,2953750260.0,320618580.0
44,462553651.0,463017.0,360454021.0,2995882226.0,318322055.0
45,472824644.0,473298.0,367934157.0,3045283760.0,318532623.0
46,482823034.0,483306.0,373714388.0,3104160790.0,314837358.0
47,491557055.0,492049.0,394761765.0,3169394672.0,329527883.0
48,502044487.0,502547.0,413389738.0,3254558187.0,328226223.0
49,512473853.0,512987.0,429325701.0,3356559095.0,327324793.0
50,525012751.0,525538.0,444498603.0,3472273930.0,328783768.0
51,535516686.0,536053.0,459634938.0,3599476542.0,332432326.0
52,547171058.0,547719.0,472741120.0,3736573767.0,335643895.0
53,558722424.0,559282.0,484944419.0,3880184634.0,341333552.0
54,570293324.0,570864.0,502008272.0,4027761793.0,354431113.0
55,583474380.0,584058.0,507361925.0,4182595332.0,352528386.0
56,596296454.0,596893.0,531824429.0,4332137784.0,382281977.0
57,606337941.0,606945.0,529710986.0,4493665659.0,368183111.0
58,619213755.0,619834.0,547570219.0,4640369033.0,400866846.0
59,632244014.0,632877.0,564423203.0,4791684863.0,413107373.0
60,645257594.0,645903.0,572714306.0,4946190963.0,418208206.0
61,657866582.0,658525.0,579505623.0,5096385712.0,429310875.0
62,670954855.0,671626.0,602314484.0,5241370824.0,457329372.0
63,685414208.0,686100.0,615378939.0,5397318231.0,459431532.0
64,700128266.0,700829.0,634791122.0,5554756394.0,477352959.0
65,711663597.0,712376.0,629360357.0,5719732674.0,464384077.0
66,728588893.0,729318.0,655706598.0,5867427521.0,508011751.0
67,745902483.0,746649.0,675124534.0,6028575965.0,513976090.0
68,764410056.0,765175.0,696530719.0,6195812757.0,529293927.0
69,779953414.0,780734.0,721117010.0,6372575516.0,544354252.0
70,797736635.0,798535.0,738817413.0,6561651830.0,549741099.0
71,816381106.0,817198.0,761554731.0,6755709130.0,567497431.0
72,835564011.0,836400.0,770388359.0,6959466993.0,566630496.0
73,854565962.0,855421.0,788071421.0,7158611924.0,588926491.0
74,875197246.0,876073.0,801143839.0,7360464118.0,599291645.0
75,895605983.0,896502.0,829120781.0,7559405429.0,630179470.0
76,915448733.0,916365.0,850465043.0,7769347992.0,640522480.0
77,936975386.0,937913.0,859506434.0,7982152016.0,646702409.0
78,957430350.0,958389.0,896189859.0,8185127746.0,693214129.0
79,1003259228.0,1004263.0,907289614.0,8403611983.0,688805377.0
80,1063544025.0,1064609.0,926844073.0,8612904022.0,717552034.0
81,1125345009.0,1126471.0,946067569.0,8821396055.0,737575536.0
82,1177739720.0,1178919.0,945756206.0,9028219547.0,738932713.0
83,1225299136.0,1226526.0,970094984.0,9214652868.0,783661663.0
84,1272931274.0,1274205.0,981482941.0,9405214084.0,790921725.0
85,1342125081.0,1343469.0,970611318.0,9587680881.0,788144521.0
86,1411808334.0,1413222.0,989923764.0,9741670280.0,835934365.0
87,1470247455.0,1471719.0,994550492.0,9895458584.0,840762188.0
88,1530448874.0,1531981.0,1022883474.0,10036556076.0,881785981.0
89,1605089514.0,1606696.0,1035265984.0,10190501893.0,881320167.0
90,1680795234.0,1682478.0,1054818887.0,10343289371.0,902031409.0
91,1750663841.0,1752416.0,1063598701.0,10503824958.0,903063114.0
92,1832039303.0,1833873.0,1090630446.0,10662582934.0,931872469.0
93,1903966425.0,1905872.0,1088889252.0,10839490161.0,911982026.0
94,1987478039.0,1989468.0,1117233134.0,11006945443.0,949777852.0
95,2058370764.0,2060431.0,1136347344.0,11194472805.0,948819983.0
96,2141826564.0,2143971.0,1154767140.0,11392712225.0,956527720.0
97,2221578017.0,2223802.0,1184084107.0,11601258808.0,975537524.0
98,2285646487.0,2287934.0,1173097518.0,11830206691.0,944149635.0
99,2350274731.0,2352627.0,1200448009.0,12039460930.0,991193770.0
100,2418417548.0,2420838.0,1221641350.0,12267168792.0,993933488.0
101,2493847929.0,2496344.0,1250843176.0,12506198969.0,1011812999.0
102,2561689255.0,2564254.0,1250201584.0,12764600884.0,991799669.0
103,2634814515.0,2637452.0,1289157869.0,13012583414.0,1041175339.0
104,2705663281.0,2708372.0,1296753220.0,13287462517.0,1021874116.0
105,2795416982.0,2798215.0,1334235886.0,13558116238.0,1063582166.0
106,2897395529.0,2900296.0,1326847195.0,13853126937.0,1031836495.0
107,2987839461.0,2990830.0,1305845594.0,14126208377.0,1032764155.0
108,3095698469.0,3098797.0,1318791747.0,14363349332.0,1081650791.0
109,3192773176.0,3195969.0,1340337213.0,14595938976.0,1107747569.0
110,3270667177.0,3273941.0,1345393349.0,14834311647.0,1107020679.0
111,3343058202.0,3346405.0,1366687069.0,15063700576.0,1137298139.0
112,3432258170.0,3435694.0,1384674102.0,15300352384.0,1148022294.0
113,3530680350.0,3534215.0,1397295966.0,15541481640.0,1156166711.0
114,3621943583.0,3625569.0,1415138882.0,15783351331.0,1173269191.0
115,3691652915.0,3695348.0,1420151851.0,16030361755.0,1173141427.0
116,3761652034.0,3765417.0,1421161870.0,16271970834.0,1179552792.0
117,3824563373.0,3828392.0,1425083682.0,16505028127.0,1192026389.0
118,3878500156.0,3882383.0,1451821298.0,16732231497.0,1224617928.0
