Year,Biochar,Biochar_E,IFuelwood_E,IFuelwood_Char,RFuelwood_E,RFuelwood_Char,Paper_C,Paper_A,Paper_D,Paper_R,Paper_L,BC_C,BC_A,BC_D,BC_R,BC_L,EC_C,EC_A,EC_L,HA_C,HA_A,HA_D,HA_R,HA_L
1901,0.0,0.0,118020402.0,3650116.0,68025947.0,5915300.0,366527055.0,346421361.0,20492355.0,1026206.0,19466148.0,72242405.0,72206564.0,37467.0,0.0,37467.0,48564292.0,48377693.0,194077.0,68545493.0,68424129.0,126854.0,0.0,126854.0
1902,0.0,0.0,120866554.0,3738141.0,65326505.0,5680566.0,376851680.0,681730673.0,42313119.0,4123666.0,38189453.0,83524035.0,155649979.0,84259.0,1460.0,82799.0,54077341.0,102045382.0,425930.0,70255687.0,138422801.0,268552.0,6205.0,262347.0
1903,0.0,0.0,130543468.0,4037427.0,56148401.0,4882470.0,388030996.0,1005411826.0,65500125.0,8480479.0,57019646.0,73174338.0,228699920.0,129980.0,3570.0,126410.0,51696546.0,153100410.0,666775.0,82555833.0,220551796.0,445864.0,16328.0,429536.0
1904,0.0,0.0,110711157.0,3424056.0,67133958.0,5837735.0,378066236.0,1296120877.0,88857183.0,13656169.0,75201014.0,77203596.0,305729353.0,181934.0,6305.0,175629.0,55906053.0,208098591.0,943294.0,67356690.0,287323391.0,610944.0,28232.0,582712.0
1905,0.0,0.0,110855527.0,3428521.0,63084795.0,5485634.0,375493726.0,1560705809.0,112734313.0,19521700.0,93212613.0,68438261.0,373943543.0,234008.0,9416.0,224592.0,47166910.0,254104129.0,1206207.0,75477757.0,362029448.0,805514.0,43214.0,762300.0
1906,0.0,0.0,114605021.0,3544485.0,71265278.0,6196981.0,406534573.0,1830441789.0,138958618.0,26327334.0,112631284.0,82121362.0,455779696.0,297784.0,13339.0,284445.0,58257035.0,310884504.0,1533142.0,65757282.0,426829335.0,998955.0,59663.0,939292.0
1907,0.0,0.0,132407903.0,4095090.0,70029012.0,6089479.0,446282515.0,2111204364.0,168029276.0,34189012.0,133840264.0,88164849.0,543589789.0,370311.0,18015.0,352296.0,62802358.0,371853728.0,1902608.0,77770986.0,503420118.0,1230999.0,79847.0,1151152.0
1908,0.0,0.0,134536330.0,4160917.0,83659240.0,7274716.0,485791151.0,2399908684.0,199956288.0,43141755.0,156814533.0,104887065.0,648038146.0,457844.0,23801.0,434042.0,60289415.0,429936739.0,2289188.0,81355580.0,583347456.0,1489186.0,103222.0,1385963.0
1909,0.0,0.0,157536531.0,4872264.0,69669087.0,6058181.0,507736825.0,2677090567.0,233772981.0,52995351.0,180777630.0,111183011.0,758688032.0,556255.0,30555.0,525700.0,61999249.0,489322664.0,2710373.0,83004515.0,664652031.0,1771834.0,129771.0,1642064.0
1910,0.0,0.0,156224826.0,4831696.0,78737648.0,6846752.0,529971538.0,2941147216.0,269467054.0,63744045.0,205723008.0,113250616.0,871301894.0,664225.0,38236.0,625989.0,71196641.0,557434712.0,3198045.0,79803827.0,742467516.0,2071638.0,159004.0,1912634.0
1911,0.0,0.0,145219709.0,4491331.0,89175491.0,7754391.0,533051856.0,3172114126.0,305933432.0,75116025.0,230817407.0,112472953.0,983025956.0,781005.0,46819.0,734186.0,63541058.0,617415971.0,3689295.0,93120563.0,833264477.0,2420082.0,193437.0,2226646.0
1912,0.0,0.0,148494845.0,4592624.0,84504283.0,7348198.0,532438445.0,3365767254.0,342886113.0,87012742.0,255873371.0,96168813.0,1078332321.0,899177.0,55859.0,843318.0,61226953.0,674584219.0,4204645.0,104494028.0,935052593.0,2817311.0,233358.0,2583952.0
1913,0.0,0.0,159644332.0,4937454.0,71582170.0,6224536.0,528914868.0,3518915072.0,380071190.0,99340709.0,280730481.0,88847990.0,1166198491.0,1023326.0,65619.0,957706.0,68127257.0,738093972.0,4781689.0,79789832.0,1011767497.0,3200186.0,273610.0,2926575.0
1914,0.0,0.0,153609668.0,4750814.0,73393535.0,6382046.0,522619453.0,3628755365.0,417233308.0,112003792.0,305229516.0,99769315.0,1264851424.0,1163242.0,76747.0,1086496.0,58846448.0,791762748.0,5359480.0,69280448.0,1077594360.0,3592660.0,316041.0,3276619.0
1915,0.0,0.0,144968092.0,4483549.0,77677432.0,6754559.0,515242626.0,3694343026.0,454203676.0,124927400.0,329276276.0,99863801.0,1363453282.0,1314529.0,88995.0,1225533.0,59154991.0,845142990.0,5974946.0,84875061.0,1158581432.0,4042887.0,364945.0,3677942.0
1916,0.0,0.0,161463395.0,4993713.0,65944639.0,5734316.0,526603517.0,3733635510.0,491918110.0,138347552.0,353570558.0,70225366.0,1432274140.0,1462539.0,101375.0,1361163.0,56535222.0,895279197.0,6617912.0,80703550.0,1234937753.0,4518481.0,417596.0,4100885.0
1917,0.0,0.0,167469186.0,5179459.0,68072895.0,5919382.0,547476485.0,3756329842.0,473754492.0,136002397.0,337752095.0,90632669.0,1521338488.0,1632611.0,115638.0,1516973.0,69779134.0,957946307.0,7352340.0,94614911.0,1324688282.0,5053967.0,477299.0,4576668.0
1918,0.0,0.0,158934032.0,4915486.0,66778727.0,5806846.0,526804124.0,3827473696.0,485610125.0,142082051.0,343528074.0,97314255.0,1616904507.0,1819342.0,131464.0,1687877.0,55936540.0,1006067631.0,8075619.0,71457116.0,1390767561.0,5584861.0,538078.0,5046784.0
1919,0.0,0.0,145005216.0,4484697.0,73729987.0,6411303.0,513570670.0,3867992728.0,495590006.0,147590537.0,347999469.0,91721172.0,1706686381.0,2017531.0,148512.0,1869019.0,65067156.0,1062540687.0,8876643.0,78629582.0,1463457713.0,6165307.0,605112.0,5560195.0
1920,0.0,0.0,137704220.0,4258893.0,72830173.0,6333058.0,496406078.0,3885450532.0,505587151.0,153077396.0,352509755.0,80482073.0,1785029118.0,2224892.0,166630.0,2058263.0,48702635.0,1101888454.0,9657752.0,79514335.0,1536431160.0,6786580.0,677693.0,6108888.0
1921,0.0,0.0,136957670.0,4235804.0,76289299.0,6633852.0,459078385.0,3876543897.0,514782481.0,158295894.0,356486588.0,76729617.0,1859406281.0,2445697.0,186149.0,2259547.0,42415751.0,1134171681.0,10455316.0,61926620.0,1591206343.0,7416440.0,752651.0,6663790.0
1922,0.0,0.0,150120678.0,4642908.0,67931384.0,5907077.0,403194942.0,3825067238.0,519517369.0,162097724.0,357419646.0,60361605.0,1917194759.0,2674145.0,206647.0,2467498.0,48398044.0,1171596442.0,11317352.0,51416565.0,1634840375.0,8066804.0,831161.0,7235643.0
1923,0.0,0.0,148592013.0,4595629.0,61556781.0,5352764.0,385426212.0,3718436003.0,518002973.0,163863150.0,354139823.0,50343390.0,1964733472.0,2913692.0,228397.0,2685295.0,39395273.0,1199169398.0,12186742.0,41458213.0,1667863568.0,8738493.0,913316.0,7825176.0
1924,0.0,0.0,135485575.0,4190276.0,81812100.0,7114096.0,405449273.0,3598849656.0,512358916.0,164199602.0,348159314.0,55952998.0,2017631172.0,3172878.0,252089.0,2920789.0,40517688.0,1226970477.0,13101903.0,61677980.0,1720379396.0,9487103.0,1005017.0,8482085.0
1925,0.0,0.0,141670053.0,4381548.0,72034175.0,6263841.0,396529871.0,3505055684.0,506026061.0,164182360.0,341843700.0,52303708.0,2066613329.0,3448085.0,277474.0,3170611.0,36648177.0,1249980675.0,14043852.0,50690007.0,1761156107.0,10259608.0,1100813.0,9158795.0
1926,0.0,0.0,126743559.0,3919904.0,63879026.0,5554698.0,388291781.0,3410433544.0,497364866.0,163274398.0,334090467.0,58116342.0,2121120761.0,3745004.0,305040.0,3439965.0,37785212.0,1273160858.0,15031876.0,61056800.0,1811486934.0,11095156.0,1204970.0,9890187.0
1927,0.0,0.0,149624411.0,4627559.0,65865365.0,5727423.0,379283683.0,3316769858.0,487804260.0,161932757.0,325871503.0,56794411.0,2174000106.0,4061192.0,334626.0,3726567.0,45170420.0,1302688751.0,16091661.0,47763262.0,1847688860.0,11953045.0,1313176.0,10639869.0
1928,0.0,0.0,122687022.0,3794444.0,72231782.0,6281024.0,378034533.0,3224008762.0,477571085.0,160232427.0,317338658.0,66551457.0,2236305095.0,4403357.0,366822.0,4036535.0,37597928.0,1323591041.0,17166086.0,55344314.0,1890577589.0,12871038.0,1429631.0,11441407.0
1929,0.0,0.0,131382475.0,4063376.0,64766994.0,5631913.0,380682935.0,3139977173.0,467329383.0,158399524.0,308929859.0,53648757.0,2285360496.0,4761264.0,400815.0,4360449.0,41981826.0,1347764598.0,18300769.0,41375983.0,1918580562.0,13811715.0,1550271.0,12261444.0
1930,0.0,0.0,146807133.0,4540427.0,64625187.0,5619581.0,371603939.0,3068205439.0,457525330.0,156594114.0,300931216.0,49808477.0,2330208243.0,5140104.0,437063.0,4703041.0,38192366.0,1367006487.0,19464484.0,38801525.0,1943049366.0,14794973.0,1677354.0,13117619.0
1931,0.0,0.0,152161831.0,4706036.0,70122034.0,6097568.0,352692306.0,2997118492.0,447584472.0,154628715.0,292955757.0,46815272.0,2371673606.0,5541220.0,475712.0,5065508.0,30310382.0,1377211485.0,20639626.0,47270562.0,1974965104.0,15841746.0,1813345.0,14028401.0
1932,0.0,0.0,133756910.0,4136812.0,79753776.0,6935111.0,334320148.0,2918721496.0,435586937.0,151838848.0,283748089.0,43270076.0,2409182117.0,5965277.0,516852.0,5448425.0,24764635.0,1380696798.0,21832741.0,33661419.0,1992224050.0,16913421.0,1953915.0,14959506.0
1933,0.0,0.0,138594704.0,4286434.0,76540883.0,6655729.0,315229602.0,2836164649.0,420870413.0,147978587.0,272891826.0,35790097.0,2438777539.0,6411165.0,560417.0,5850748.0,27555207.0,1385749882.0,23074814.0,32632429.0,2007359915.0,18031764.0,2101607.0,15930157.0
1934,0.0,0.0,146333022.0,4525764.0,79776977.0,6937128.0,296067360.0,2748914769.0,406397609.0,144080052.0,262317557.0,24601773.0,2456731162.0,6877706.0,606332.0,6271374.0,17742070.0,1379766434.0,24315590.0,24234527.0,2012969984.0,19183480.0,2254929.0,16928551.0
1935,0.0,0.0,130120210.0,4024336.0,69118972.0,6010345.0,300561951.0,2657116058.0,391616246.0,139953822.0,251662423.0,33851754.0,2483450221.0,7376049.0,655611.0,6720438.0,20224531.0,1374998112.0,25600134.0,28609166.0,2021771316.0,20391153.0,2416588.0,17974565.0
1936,0.0,0.0,154710945.0,4784875.0,66543140.0,5786360.0,306494095.0,2583188396.0,378172711.0,136195628.0,241977083.0,34726912.0,2510531502.0,7903346.0,708045.0,7195301.0,24232192.0,1372920699.0,26934100.0,29968654.0,2030697699.0,21650076.0,2586115.0,19063961.0
1937,0.0,0.0,164934557.0,5101069.0,79158754.0,6883370.0,316957054.0,2525923361.0,367642741.0,133393027.0,234249714.0,29204508.0,2531551098.0,8457410.0,763475.0,7693935.0,22211879.0,1367479981.0,28293341.0,28921717.0,2037295572.0,22956062.0,2763082.0,20192980.0
1938,0.0,0.0,144867012.0,4480423.0,69216360.0,6018814.0,337379177.0,2485556859.0,361655688.0,132168763.0,229486925.0,35991567.0,2558785180.0,9045455.0,822591.0,8222864.0,27262505.0,1365695487.0,29704017.0,36831485.0,2050458849.0,24325401.0,2949525.0,21375876.0
1939,0.0,0.0,146932099.0,4544292.0,65882191.0,5728886.0,357873602.0,2469333169.0,358055838.0,131767805.0,226288033.0,43655598.0,2593075608.0,9669330.0,885605.0,8783726.0,33885428.0,1369082032.0,31172412.0,33390342.0,2058792825.0,25738149.0,3143110.0,22595040.0
1940,0.0,0.0,135256164.0,4183180.0,66380745.0,5772239.0,378440375.0,2477298624.0,354164715.0,131217986.0,222946730.0,58528584.0,2641591205.0,10334233.0,953043.0,9381190.0,33497492.0,1370597749.0,32670958.0,47407372.0,2079681805.0,27225678.0,3347741.0,23877936.0
1941,0.0,0.0,134094077.0,4147240.0,70612719.0,6140236.0,387107151.0,2508049952.0,352136946.0,131322479.0,220814467.0,60867470.0,2691762152.0,11035487.0,1024527.0,10010960.0,41603018.0,1378674222.0,34231757.0,48443338.0,2100092019.0,28765781.0,3560793.0,25204988.0
1942,0.0,0.0,118661933.0,3669957.0,64691416.0,5625340.0,405798097.0,2548544445.0,351281973.0,131837082.0,219444890.0,56909586.0,2737257819.0,11771094.0,1099912.0,10671183.0,39547339.0,1383126657.0,35814963.0,45600402.0,2116099041.0,30350889.0,3781387.0,26569503.0
1943,0.0,0.0,129533618.0,4006194.0,74345022.0,6464784.0,409796109.0,2607047788.0,352257770.0,133019695.0,219238075.0,61763236.0,2786850530.0,12546588.0,1179756.0,11366833.0,44909019.0,1391322747.0,37447705.0,46813004.0,2131706813.0,31987293.0,4010354.0,27976939.0
1944,0.0,0.0,125741066.0,3888899.0,74029845.0,6437378.0,400522922.0,2668343192.0,353690116.0,134361722.0,219328394.0,61643133.0,2835528434.0,13360746.0,1263990.0,12096756.0,47266996.0,1400220930.0,39117705.0,53885281.0,2152713694.0,33685099.0,4249027.0,29436072.0
1945,0.0,0.0,152865587.0,4727802.0,65138601.0,5664226.0,397232608.0,2719677029.0,354536675.0,135468591.0,219068084.0,50443674.0,2872178451.0,14208935.0,1352216.0,12856720.0,34193363.0,1394412260.0,40762024.0,52984161.0,2171098948.0,35429646.0,4495623.0,30934023.0
1946,0.0,0.0,130831139.0,4046324.0,77026617.0,6697967.0,422065866.0,2766554792.0,355973696.0,136789048.0,219184647.0,68850107.0,2926357466.0,15107071.0,1445989.0,13661082.0,44390200.0,1397106613.0,42467323.0,60175171.0,2194894297.0,37234556.0,4751925.0,32482631.0
1947,0.0,0.0,129325698.0,3999764.0,74542223.0,6481932.0,412016679.0,2834353567.0,360330307.0,139227402.0,221102906.0,65686810.0,2976455554.0,16045875.0,1544475.0,14501400.0,47371383.0,1401054667.0,44205604.0,48916295.0,2205622234.0,39065517.0,5013600.0,34051917.0
1948,0.0,0.0,137803216.0,4261955.0,57087338.0,4964116.0,483228264.0,2887239537.0,365582992.0,142016263.0,223566729.0,79377099.0,3039276810.0,17034999.0,1648648.0,15386351.0,46618296.0,1402504216.0,45960547.0,81917798.0,2247440394.0,41001044.0,5290776.0,35710268.0
1949,0.0,0.0,129982487.0,4020077.0,80153877.0,6969902.0,524437222.0,3001057999.0,376455498.0,147005812.0,229449687.0,72657419.0,3094370238.0,18065528.0,1757695.0,16307834.0,57786780.0,1413315672.0,47777156.0,81660190.0,2287042093.0,42983414.0,5576124.0,37407290.0
1950,0.0,0.0,157305539.0,4865120.0,69888172.0,6077232.0,564778546.0,3141891204.0,391331933.0,153595406.0,237736527.0,97796470.0,3173537000.0,19154689.0,1873340.0,17281349.0,69663239.0,1434132069.0,49659396.0,89774867.0,2332738732.0,45026529.0,5871494.0,39155035.0
1951,0.0,0.0,187812296.0,5808628.0,83441804.0,7255809.0,525489208.0,3306407402.0,408501001.0,161132820.0,247368182.0,196704467.0,3350449735.0,20342905.0,1999619.0,18343286.0,75848775.0,1459217972.0,51586048.0,177384088.0,2463823516.0,47277185.0,6196188.0,41080997.0
1952,0.0,0.0,160339234.0,4958945.0,69931989.0,6081042.0,489352584.0,3417166340.0,423291592.0,167778659.0,255512933.0,221404253.0,3550835138.0,21597451.0,2133420.0,19464031.0,75248912.0,1481769713.0,53529867.0,166609821.0,2581873099.0,49566491.0,6528310.0,43038182.0
1953,0.0,0.0,151345946.0,4680802.0,86494828.0,7521289.0,504125666.0,3479749571.0,435446568.0,173415789.0,262030779.0,216055812.0,3744592300.0,22905276.0,2273516.0,20631760.0,71109564.0,1498245356.0,55474475.0,213054391.0,2743967636.0,51997750.0,6881542.0,45116208.0
1954,0.0,0.0,149424092.0,4621364.0,86126765.0,7489284.0,497591478.0,3545474251.0,447095930.0,178880811.0,268215119.0,201155555.0,3922120283.0,24262584.0,2419576.0,21843007.0,78848168.0,1520478118.0,57463933.0,210125659.0,2900675856.0,54486540.0,7244865.0,47241675.0
1955,0.0,0.0,158676091.0,4907508.0,83193945.0,7234256.0,508750482.0,3594715055.0,457007063.0,183674890.0,273332173.0,188567713.0,4085680537.0,25671229.0,2571829.0,23099400.0,60648041.0,1522583918.0,59394944.0,228004656.0,3072711578.0,57070438.0,7623342.0,49447096.0
1956,0.0,0.0,161941878.0,5008512.0,100700937.0,8756603.0,514532710.0,3645919565.0,466167645.0,188186843.0,277980802.0,260864957.0,4320064349.0,27175917.0,2734816.0,24441102.0,78928554.0,1540965586.0,61405407.0,180016173.0,3194227577.0,59630095.0,8001070.0,51629025.0
1957,0.0,0.0,170857069.0,5284239.0,93549371.0,8134728.0,552693735.0,3694021726.0,475131450.0,192636832.0,282494618.0,259998982.0,4552046435.0,28743384.0,2905274.0,25838110.0,80871829.0,1559267437.0,63433633.0,191643274.0,3324762307.0,62267375.0,8391673.0,53875702.0
1958,0.0,0.0,136647129.0,4226200.0,73855662.0,6422232.0,462592459.0,3770437443.0,485043094.0,197489544.0,287553551.0,211034605.0,4733488773.0,30350089.0,3080870.0,27269219.0,69416734.0,1564125482.0,65424769.0,186694099.0,3447690687.0,64952684.0,8791222.0,56161461.0
1959,0.0,0.0,171833394.0,5314435.0,94083939.0,8181212.0,551988782.0,3752113189.0,489590622.0,200168839.0,289421783.0,257456109.0,4959691131.0,32044567.0,3266573.0,28777994.0,81161609.0,1578690408.0,67465960.0,234722259.0,3615849025.0,67782450.0,9212849.0,58569601.0
1960,0.0,0.0,173511936.0,5366349.0,95413056.0,8296787.0,586831013.0,3813140118.0,499937054.0,205230142.0,294706913.0,251536034.0,5178248421.0,33803106.0,3460039.0,30343067.0,87084191.0,1597111370.0,69535720.0,215541651.0,3761999468.0,70639645.0,9640768.0,60998877.0
1961,0.0,0.0,178510603.0,5520946.0,93593188.0,8138538.0,591303008.0,3896610053.0,512644435.0,211285032.0,301359404.0,246542323.0,5390021953.0,35627244.0,3661478.0,31965766.0,81730682.0,1608126956.0,71589177.0,280821899.0,3970427620.0,73677101.0,10095909.0,63581192.0
1962,0.0,0.0,181187029.0,5603723.0,88133585.0,7663790.0,583840881.0,3973221721.0,523963061.0,216793053.0,307170008.0,267347616.0,5620731804.0,37531409.0,3872429.0,33658980.0,109441428.0,1627437386.0,71346914.0,244675858.0,4139701227.0,76717831.0,10554160.0,66163671.0
1963,0.0,0.0,188882142.0,5841716.0,91059102.0,7918183.0,605971339.0,4030918621.0,535711380.0,222502328.0,313209051.0,277935134.0,5860084126.0,39512538.0,4092644.0,35419894.0,78521813.0,1687478418.0,71334082.0,233810665.0,4295055909.0,79802947.0,11021145.0,68781802.0
